scene_id,mean_entropy,max_entropy,std_entropy,high_entropy_ratio,n_objects,n_metal,n_rubber,has_metal
115,0.5601738095283508,0.9790430068969727,0.24172742664813995,0.34885204081632654,7,1,6,True
116,0.6380618214607239,0.9927183985710144,0.21969081461429596,0.4945591517857143,8,4,4,True
117,0.6315914988517761,0.999705970287323,0.22409921884536743,0.4478037308673469,6,5,1,True
118,0.5255350470542908,0.996085524559021,0.26079437136650085,0.3305564413265306,10,5,5,True
119,0.6934555768966675,0.9986006617546082,0.22339673340320587,0.5722456951530612,5,5,1,True
120,0.5861862897872925,0.9683439135551453,0.2923770546913147,0.5004384566326531,4,1,3,True
121,0.5741355419158936,0.999544620513916,0.2256782501935959,0.36581234056122447,7,2,5,True
122,0.6060531735420227,0.9997559785842896,0.27288779616355896,0.46871014030612246,3,1,2,True
123,0.5018509030342102,0.9783369302749634,0.2542160451412201,0.27549027423469385,9,4,5,True
124,0.664771318435669,0.9999175667762756,0.2506451904773712,0.5522759885204082,3,3,0,True
125,0.45604315400123596,0.9921207427978516,0.28950726985931396,0.28427933673469385,5,0,5,False
126,0.5479997396469116,0.9974688291549683,0.23449376225471497,0.29384566326530615,9,7,2,True
127,0.543254017829895,0.9998874068260193,0.2889183461666107,0.36780532525510207,7,4,3,True
128,0.5120829939842224,0.9871514439582825,0.276321142911911,0.33119419642857145,4,3,1,True
129,0.6044163107872009,0.9947618246078491,0.28005877137184143,0.46992586096938777,2,1,2,True
130,0.545454204082489,0.9996603727340698,0.24996864795684814,0.33775111607142855,8,4,4,True
131,0.5593740344047546,0.9983291625976562,0.27700337767601013,0.3635801977040816,8,5,4,True
132,0.530134379863739,0.9975016713142395,0.24775969982147217,0.29384566326530615,9,5,5,True
133,0.6449505686759949,0.9996438026428223,0.2189769148826599,0.4838169642857143,6,2,4,True
134,0.5413342118263245,0.9993387460708618,0.23874546587467194,0.3341039540816326,6,2,4,True
135,0.6791071891784668,0.9998199939727783,0.2272890955209732,0.5417729591836735,3,1,2,True
136,0.648847758769989,0.9996114373207092,0.2672837972640991,0.5371691645408163,4,3,1,True
137,0.5208695530891418,0.9995535016059875,0.2579687833786011,0.30277423469387754,6,2,4,True
138,0.6215097904205322,0.9996984601020813,0.25722017884254456,0.4669563137755102,8,3,5,True
139,0.690031886100769,0.9997878670692444,0.2071038782596588,0.5551857461734694,7,5,2,True
140,0.5550258159637451,0.9877510666847229,0.2623923420906067,0.37583705357142855,9,5,4,True
141,0.590350866317749,0.9991053342819214,0.2657835781574249,0.43154097576530615,7,3,4,True
142,0.47382688522338867,0.9777436256408691,0.2545908987522125,0.2323620854591837,6,3,4,True
143,0.6779899001121521,0.9999945759773254,0.23478394746780396,0.5551259566326531,3,1,2,True
144,0.5380722284317017,0.9971455931663513,0.2592023015022278,0.33922592474489793,10,4,6,True
145,0.5254201889038086,0.9830619692802429,0.24571336805820465,0.3196548150510204,7,5,4,True
146,0.5453545451164246,0.979316234588623,0.2885721027851105,0.37501992984693877,10,4,6,True
147,0.5700042247772217,0.999680757522583,0.2695082426071167,0.3667490433673469,8,6,3,True
148,0.5259799361228943,0.9712518453598022,0.28723540902137756,0.37388392857142855,3,2,1,True
149,0.6048367619514465,0.9996565580368042,0.23109714686870575,0.4341517857142857,5,2,4,True
150,0.6215265989303589,0.9997460842132568,0.2447960376739502,0.47030452806122447,8,6,3,True
151,0.6237480640411377,0.9998651146888733,0.23313364386558533,0.45717075892857145,10,6,4,True
152,0.5293301343917847,0.9997725486755371,0.2623119652271271,0.3043686224489796,7,3,4,True
153,0.620476484298706,0.9748111963272095,0.19383926689624786,0.3889907525510204,3,2,2,True
154,0.5032841563224792,0.9921811819076538,0.30405184626579285,0.3959263392857143,6,2,4,True
155,0.5182963013648987,0.9806634783744812,0.30289462208747864,0.3784279336734694,4,3,1,True
156,0.6511457562446594,0.9999182820320129,0.25762006640434265,0.5323461415816326,4,2,2,True
157,0.499815970659256,0.994539737701416,0.29759079217910767,0.30112005739795916,4,2,2,True
158,0.6021533012390137,0.9997016191482544,0.2565717399120331,0.4328762755102041,6,3,6,True
159,0.49107182025909424,0.9762975573539734,0.23651233315467834,0.2220184948979592,6,3,4,True
160,0.6077274084091187,0.9954192042350769,0.19276940822601318,0.34462691326530615,6,2,6,True
161,0.5599793195724487,0.9977070093154907,0.27683985233306885,0.3798828125,8,6,3,True
162,0.6555507183074951,0.9998621940612793,0.20885534584522247,0.4851921237244898,8,7,2,True
163,0.5890913009643555,0.9995065331459045,0.2655278742313385,0.39546795280612246,4,3,1,True
164,0.6191688179969788,0.9996933937072754,0.21372462809085846,0.41757015306122447,4,2,4,True
165,0.5577881932258606,0.9996534585952759,0.2720566391944885,0.37107382015306123,6,1,5,True
166,0.5108844041824341,0.9860204458236694,0.28452441096305847,0.30763711734693877,10,5,5,True
167,0.6445822715759277,0.9952102303504944,0.26408764719963074,0.5190728635204082,5,1,5,True
168,0.6121413707733154,0.9996929168701172,0.23123547434806824,0.4346898915816326,4,2,2,True
169,0.5790847539901733,0.9996582865715027,0.2728113532066345,0.39881616709183676,4,2,3,True
170,0.6354820728302002,0.999722957611084,0.2420206069946289,0.48537149234693877,4,2,2,True
171,0.5066953897476196,0.9891289472579956,0.26768162846565247,0.3116828762755102,4,4,2,True
172,0.5039262771606445,0.9990015029907227,0.2767448425292969,0.31248007015306123,8,8,2,True
173,0.6255701780319214,0.9997652173042297,0.23503004014492035,0.4257015306122449,8,3,5,True
174,0.6288654804229736,0.9996934533119202,0.21746040880680084,0.44168526785714285,6,5,2,True
175,0.5847165584564209,0.9965672492980957,0.26727059483528137,0.4161750637755102,9,3,7,True
176,0.578143298625946,0.9965027570724487,0.25401920080184937,0.3740832270408163,6,3,3,True
177,0.5384877920150757,0.9999315142631531,0.2696762979030609,0.3286631058673469,8,6,2,True
178,0.43737438321113586,0.9760184288024902,0.24964432418346405,0.126953125,6,3,3,True
179,0.6285891532897949,0.9996099472045898,0.26631471514701843,0.5361527423469388,5,3,2,True
180,0.49878808856010437,0.9458746314048767,0.24789120256900787,0.24071269132653061,6,4,2,True
181,0.5934694409370422,0.993887722492218,0.24943968653678894,0.41378348214285715,4,2,2,True
182,0.7047010064125061,0.9998946189880371,0.2142620086669922,0.6002869897959183,4,3,1,True
183,0.43766137957572937,0.9993482828140259,0.2621217370033264,0.19104751275510204,5,3,2,True
184,0.5752260684967041,0.9995139837265015,0.2472379058599472,0.3806999362244898,7,3,4,True
185,0.5491617321968079,0.9678917527198792,0.2950846552848816,0.43576610331632654,3,3,0,True
186,0.5806195139884949,0.9996180534362793,0.24424494802951813,0.3844666772959184,7,3,4,True
187,0.5630705952644348,0.999381422996521,0.2962246537208557,0.4396125637755102,4,1,3,True
188,0.5865737199783325,0.9994434714317322,0.2667258679866791,0.40194515306122447,5,3,3,True
189,0.5378062725067139,0.9614710807800293,0.2379399985074997,0.27919722576530615,6,5,4,True
190,0.5350648760795593,0.9928686022758484,0.27513787150382996,0.36716757015306123,6,4,2,True
191,0.5475772619247437,0.9997625946998596,0.2705058455467224,0.36122847576530615,10,4,6,True
192,0.5926541090011597,0.9896715879440308,0.24286384880542755,0.3837890625,9,6,4,True
193,0.6343287229537964,0.9996070861816406,0.28950580954551697,0.5093670280612245,3,2,1,True
194,0.6424605250358582,0.9995864629745483,0.2596130073070526,0.5382453762755102,3,2,1,True
195,0.5899951457977295,0.999829113483429,0.2730875313282013,0.43965242346938777,7,4,3,True
196,0.5646032094955444,0.9997521638870239,0.2866983413696289,0.4027622767857143,10,3,7,True
197,0.6689049601554871,0.9996512532234192,0.21919912099838257,0.4917091836734694,2,1,2,True
198,0.6276683211326599,0.9993578791618347,0.2765761911869049,0.5295360331632653,3,1,2,True
199,0.5238153338432312,0.999149739742279,0.2546764016151428,0.2725406568877551,6,5,1,True
200,0.5951392650604248,0.9997034668922424,0.25532668828964233,0.4437779017857143,8,1,7,True
201,0.5345181822776794,0.9991312623023987,0.28087544441223145,0.34365035076530615,3,1,2,True
202,0.5962138772010803,0.9997127652168274,0.258840948343277,0.4107142857142857,7,3,4,True
203,0.5823656320571899,0.9997284412384033,0.25965890288352966,0.39090401785714285,4,2,2,True
204,0.5377582907676697,0.9998735785484314,0.25749051570892334,0.3244579081632653,8,4,5,True
205,0.5898833274841309,0.9878224730491638,0.2576509416103363,0.421695631377551,9,7,2,True
206,0.592128574848175,0.9995468854904175,0.2535479664802551,0.40529336734693877,8,3,5,True
207,0.6019688844680786,0.9986472129821777,0.3135720193386078,0.49477838010204084,4,1,3,True
208,0.6008995175361633,0.9997660517692566,0.23746128380298615,0.4026626275510204,9,3,7,True
209,0.6786189675331116,0.9999254941940308,0.2041066288948059,0.4999402104591837,4,1,3,True
210,0.530857503414154,0.9833343625068665,0.25113409757614136,0.2741549744897959,6,4,3,True
